Date,Location,Opponent,Number,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS
2018-11-24,T,Fordham,25,"Watkins, T.T.",,8,1-1,0-0,0-0,0-0,0,1,0,0,0,0,2
2018-11-24,T,Fordham,35,"Griggsby, Alexis",,8,0-1,0-1,0-0,0-0,0,3,0,0,0,0,0
2018-11-24,T,Fordham,1,"Johnson, Hannah",,8,0-3,0-1,0-0,0-1,1,0,0,2,0,0,0
2018-11-24,T,Fordham,12,"Hagstrom, Montana",,0,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0
2018-11-25,T,Michigan,4,"Melgoza, Amber",*,34,6-13,0-0,8-10,3-0,3,5,4,5,0,3,20
2018-11-25,T,Michigan,44,"Peterson, Missy",*,35,7-15,1-7,3-3,1-4,5,2,2,0,0,1,18
2018-11-25,T,Michigan,24,"Moser, Jenna",*,30,6-9,3-5,0-0,0-3,3,1,0,3,0,3,15
2018-11-25,T,Michigan,3,"Henson, Mai-Loni",*,25,2-7,1-3,0-0,1-3,4,2,4,2,0,2,5
2018-11-25,T,Michigan,53,"Rees, Darcy",*,16,0-2,0-1,0-0,1-1,2,3,0,1,0,0,0
2018-11-25,T,Michigan,1,"Johnson, Hannah",,25,3-5,3-5,1-2,0-5,5,2,0,1,0,0,10
2018-11-25,T,Michigan,15,"Van Dyke, Haley",,16,1-3,0-0,1-2,1-3,4,1,2,0,0,1,3
2018-11-25,T,Michigan,20,"Rooks, Khayla",,12,1-1,0-0,0-0,0-3,3,1,0,3,0,0,2
2018-11-25,T,Michigan,35,"Griggsby, Alexis",,7,0-1,0-1,0-0,1-0,1,0,0,3,0,0,0
2018-11-25,T,Michigan,12,"Hagstrom, Montana",,0,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0
2018-11-25,T,Michigan,25,"Watkins, T.T.",,0,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0
2018-11-30,A,Seattle,4,"Melgoza, Amber",*,30,9-21,0-5,11-11,1-5,6,1,5,3,0,1,29
2018-11-30,A,Seattle,44,"Peterson, Missy",*,32,6-8,4-6,2-2,1-4,5,2,4,2,0,2,18
2018-11-30,A,Seattle,24,"Moser, Jenna",*,29,3-7,2-6,0-0,0-0,0,1,2,1,1,2,8
2018-11-30,A,Seattle,3,"Henson, Mai-Loni",*,27,1-6,1-1,0-0,4-2,6,0,2,3,0,1,3
2018-11-30,A,Seattle,53,"Rees, Darcy",*,17,0-2,0-1,0-2,1-3,4,4,0,3,1,3,0
2018-11-30,A,Seattle,15,"Van Dyke, Haley",,15,2-4,0-1,1-4,1-6,7,1,0,0,0,0,5
2018-11-30,A,Seattle,20,"Rooks, Khayla",,15,2-5,0-3,0-0,0-0,0,0,1,0,0,1,4
2018-11-30,A,Seattle,1,"Johnson, Hannah",,21,1-3,0-0,0-0,0-1,1,0,1,0,0,1,2
2018-11-30,A,Seattle,35,"Griggsby, Alexis",,14,0-1,0-1,0-0,1-0,1,3,1,0,0,0,0
2018-11-30,A,Seattle,12,"Hagstrom, Montana",,0,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0
2018-11-30,A,Seattle,25,"Watkins, T.T.",,0,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0
2018-12-02,H,George Mason,4,"Melgoza, Amber",*,26,7-15,1-5,5-6,1-5,6,0,3,4,0,0,20
2018-12-02,H,George Mason,44,"Peterson, Missy",*,22,4-6,3-4,0-0,0-2,2,1,2,2,0,1,11
2018-12-02,H,George Mason,24,"Moser, Jenna",*,21,2-7,2-6,1-2,4-1,5,0,1,1,0,4,7
2018-12-02,H,George Mason,3,"Henson, Mai-Loni",*,21,2-10,0-4,0-0,2-3,5,0,2,0,0,2,4
2018-12-02,H,George Mason,53,"Rees, Darcy",*,21,2-4,0-0,0-0,3-3,6,3,2,1,3,1,4
2018-12-02,H,George Mason,15,"Van Dyke, Haley",,19,6-10,1-3,0-1,2-3,5,1,2,3,0,1,13
2018-12-02,H,George Mason,35,"Griggsby, Alexis",,17,3-8,1-4,0-1,2-0,2,1,2,0,0,5,7
2018-12-02,H,George Mason,1,"Johnson, Hannah",,18,1-3,0-1,4-4,5-5,10,0,4,2,0,0,6
2018-12-02,H,George Mason,20,"Rooks, Khayla",,16,2-4,1-2,0-0,0-1,1,2,1,2,0,1,5
2018-12-02,H,George Mason,25,"Watkins, T.T.",,15,1-3,0-1,2-2,2-1,3,2,2,1,0,1,4
2018-12-02,H,George Mason,12,"Hagstrom, Montana",,4,0-2,0-2,0-0,0-1,1,0,0,0,0,0,0
2018-12-05,H,Ohio State,4,"Melgoza, Amber",*,28,8-16,4-7,8-8,3-5,8,1,1,5,0,3,28
2018-12-05,H,Ohio State,53,"Rees, Darcy",*,20,3-4,0-0,1-2,1-2,3,1,0,0,1,1,7
2018-12-05,H,Ohio State,44,"Peterson, Missy",*,29,2-8,0-4,2-4,1-3,4,4,4,5,0,0,6
2018-12-05,H,Ohio State,3,"Henson, Mai-Loni",*,14,1-5,1-2,1-2,1-4,5,2,2,4,0,2,4
2018-12-05,H,Ohio State,24,"Moser, Jenna",*,29,1-6,1-4,0-0,1-2,3,1,2,3,0,0,3
2018-12-05,H,Ohio State,15,"Van Dyke, Haley",,18,3-5,1-2,0-0,1-3,4,0,0,0,1,1,7
2018-12-05,H,Ohio State,20,"Rooks, Khayla",,18,1-5,0-3,2-2,0-3,3,1,2,0,1,1,4
2018-12-05,H,Ohio State,25,"Watkins, T.T.",,8,2-3,0-1,0-0,0-0,0,3,1,0,0,1,4
2018-12-05,H,Ohio State,1,"Johnson, Hannah",,19,1-4,0-0,1-2,2-9,11,1,0,3,0,0,3
2018-12-05,H,Ohio State,35,"Griggsby, Alexis",,17,1-3,1-3,0-0,0-0,0,3,1,1,0,0,3
2018-12-05,H,Ohio State,12,"Hagstrom, Montana",,0,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0
2018-12-15,H,Montana,4,"Melgoza, Amber",*,24,5-16,3-6,2-2,1-2,3,2,1,2,0,4,15
